wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run kheztc6z
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260629_115612-kheztc6z
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.1_pruning_ratio_0.1_delta_t_8640
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/kheztc6z
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.1
num_mask_updates: 10
t_end_ratio: 0.8
pruning_ratio: 0.1
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.1 | total_steps=108000 | t_end=86400 | delta_t=8640

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:02<?, ?it/s, acc=0.249, lr=0.0001, test_acc=0.114]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:02<04:34,  2.77s/it, acc=0.249, lr=0.0001, test_acc=0.114]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:02<04:34,  2.77s/it, acc=0.249, lr=0.0001, test_acc=0.114]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:05<04:34,  2.77s/it, acc=0.43, lr=0.0002, test_acc=0.376] 
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:05<04:06,  2.51s/it, acc=0.43, lr=0.0002, test_acc=0.376]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:05<04:06,  2.51s/it, acc=0.43, lr=0.0002, test_acc=0.376]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<04:06,  2.51s/it, acc=0.533, lr=0.0003, test_acc=0.414]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<03:56,  2.43s/it, acc=0.533, lr=0.0003, test_acc=0.414]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<03:56,  2.43s/it, acc=0.533, lr=0.0003, test_acc=0.414]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:09<03:56,  2.43s/it, acc=0.658, lr=0.0004, test_acc=0.406]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:09<03:50,  2.40s/it, acc=0.658, lr=0.0004, test_acc=0.406]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:09<03:50,  2.40s/it, acc=0.658, lr=0.0004, test_acc=0.406]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:12<03:50,  2.40s/it, acc=0.759, lr=0.0005, test_acc=0.277]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:12<03:46,  2.38s/it, acc=0.759, lr=0.0005, test_acc=0.277]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:12<03:46,  2.38s/it, acc=0.759, lr=0.0005, test_acc=0.277]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:14<03:46,  2.38s/it, acc=0.789, lr=0.0006, test_acc=0.287]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:14<03:42,  2.36s/it, acc=0.789, lr=0.0006, test_acc=0.287]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:14<03:42,  2.36s/it, acc=0.789, lr=0.0006, test_acc=0.287]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<03:42,  2.36s/it, acc=0.815, lr=0.0007, test_acc=0.321]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:16<03:38,  2.35s/it, acc=0.815, lr=0.0007, test_acc=0.321]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:16<03:38,  2.35s/it, acc=0.815, lr=0.0007, test_acc=0.321]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:19<03:38,  2.35s/it, acc=0.804, lr=0.0008, test_acc=0.383]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:19<03:35,  2.35s/it, acc=0.804, lr=0.0008, test_acc=0.383]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:19<03:35,  2.35s/it, acc=0.804, lr=0.0008, test_acc=0.383]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:21<03:35,  2.35s/it, acc=0.821, lr=0.0009, test_acc=0.359]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:21<03:33,  2.34s/it, acc=0.821, lr=0.0009, test_acc=0.359]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:21<03:33,  2.34s/it, acc=0.821, lr=0.0009, test_acc=0.359]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:23<03:33,  2.34s/it, acc=0.837, lr=0.001, test_acc=0.284] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:23<03:30,  2.34s/it, acc=0.837, lr=0.001, test_acc=0.284]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:23<03:30,  2.34s/it, acc=0.837, lr=0.001, test_acc=0.284]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:26<03:30,  2.34s/it, acc=0.85, lr=0.001, test_acc=0.334] 
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:26<03:28,  2.34s/it, acc=0.85, lr=0.001, test_acc=0.334]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:26<03:28,  2.34s/it, acc=0.85, lr=0.001, test_acc=0.334]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:28<03:28,  2.34s/it, acc=0.891, lr=0.001, test_acc=0.369]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:28<03:26,  2.35s/it, acc=0.891, lr=0.001, test_acc=0.369]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:28<03:26,  2.35s/it, acc=0.891, lr=0.001, test_acc=0.369]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:30<03:26,  2.35s/it, acc=0.893, lr=0.001, test_acc=0.43] 
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:30<03:23,  2.34s/it, acc=0.893, lr=0.001, test_acc=0.43]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:30<03:23,  2.34s/it, acc=0.893, lr=0.001, test_acc=0.43]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:33<03:23,  2.34s/it, acc=0.913, lr=0.001, test_acc=0.486]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:33<03:21,  2.34s/it, acc=0.913, lr=0.001, test_acc=0.486]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:33<03:21,  2.34s/it, acc=0.913, lr=0.001, test_acc=0.486]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:35<03:21,  2.34s/it, acc=0.921, lr=0.001, test_acc=0.463]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:35<03:18,  2.34s/it, acc=0.921, lr=0.001, test_acc=0.463]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:35<03:18,  2.34s/it, acc=0.921, lr=0.001, test_acc=0.463]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:37<03:18,  2.34s/it, acc=0.923, lr=0.001, test_acc=0.471]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:37<03:16,  2.34s/it, acc=0.923, lr=0.001, test_acc=0.471]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:37<03:16,  2.34s/it, acc=0.923, lr=0.001, test_acc=0.471]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:40<03:16,  2.34s/it, acc=0.939, lr=0.001, test_acc=0.451]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:40<03:14,  2.35s/it, acc=0.939, lr=0.001, test_acc=0.451]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:40<03:14,  2.35s/it, acc=0.939, lr=0.001, test_acc=0.451]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:42<03:14,  2.35s/it, acc=0.949, lr=0.001, test_acc=0.447]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:42<03:12,  2.35s/it, acc=0.949, lr=0.001, test_acc=0.447]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:42<03:12,  2.35s/it, acc=0.949, lr=0.001, test_acc=0.447]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:44<03:12,  2.35s/it, acc=0.95, lr=0.001, test_acc=0.452] 
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:44<03:10,  2.36s/it, acc=0.95, lr=0.001, test_acc=0.452]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:44<03:10,  2.36s/it, acc=0.95, lr=0.001, test_acc=0.452]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:47<03:10,  2.36s/it, acc=0.959, lr=0.001, test_acc=0.46]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:47<03:08,  2.36s/it, acc=0.959, lr=0.001, test_acc=0.46]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:47<03:08,  2.36s/it, acc=0.959, lr=0.001, test_acc=0.46]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:49<03:08,  2.36s/it, acc=0.955, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:49<03:06,  2.36s/it, acc=0.955, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:49<03:06,  2.36s/it, acc=0.955, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:52<03:06,  2.36s/it, acc=0.952, lr=0.001, test_acc=0.396]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:52<03:04,  2.36s/it, acc=0.952, lr=0.001, test_acc=0.396]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:52<03:04,  2.36s/it, acc=0.952, lr=0.001, test_acc=0.396]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:54<03:04,  2.36s/it, acc=0.965, lr=0.001, test_acc=0.47] 
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:54<03:01,  2.36s/it, acc=0.965, lr=0.001, test_acc=0.47]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:54<03:01,  2.36s/it, acc=0.965, lr=0.001, test_acc=0.47]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:56<03:01,  2.36s/it, acc=0.967, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:56<02:59,  2.36s/it, acc=0.967, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:56<02:59,  2.36s/it, acc=0.967, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:59<02:59,  2.36s/it, acc=0.962, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [00:59<02:57,  2.36s/it, acc=0.962, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:59<02:57,  2.36s/it, acc=0.962, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:01<02:57,  2.36s/it, acc=0.964, lr=0.001, test_acc=0.484]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [01:01<02:54,  2.36s/it, acc=0.964, lr=0.001, test_acc=0.484]
