wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run 37fex0ba
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260619_055850-37fex0ba
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.7_pruning_ratio_0.9_delta_t_864
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/7yfjydkv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/37fex0ba
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 0
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.7
num_mask_updates: 100
t_end_ratio: 0.8
pruning_ratio: 0.9
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.7 | total_steps=108000 | t_end=86400 | delta_t=864

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:02<?, ?it/s, acc=0.23, lr=0.0001, test_acc=0.104]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:02<04:45,  2.88s/it, acc=0.23, lr=0.0001, test_acc=0.104]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:02<04:45,  2.88s/it, acc=0.23, lr=0.0001, test_acc=0.104]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:05<04:45,  2.88s/it, acc=0.362, lr=0.0002, test_acc=0.259]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:05<04:05,  2.50s/it, acc=0.362, lr=0.0002, test_acc=0.259]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:05<04:05,  2.50s/it, acc=0.362, lr=0.0002, test_acc=0.259]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<04:05,  2.50s/it, acc=0.462, lr=0.0003, test_acc=0.421]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<03:50,  2.38s/it, acc=0.462, lr=0.0003, test_acc=0.421]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<03:50,  2.38s/it, acc=0.462, lr=0.0003, test_acc=0.421]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:09<03:50,  2.38s/it, acc=0.568, lr=0.0004, test_acc=0.406]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:09<03:43,  2.33s/it, acc=0.568, lr=0.0004, test_acc=0.406]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:09<03:43,  2.33s/it, acc=0.568, lr=0.0004, test_acc=0.406]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:11<03:43,  2.33s/it, acc=0.661, lr=0.0005, test_acc=0.403]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:11<03:37,  2.29s/it, acc=0.661, lr=0.0005, test_acc=0.403]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:11<03:37,  2.29s/it, acc=0.661, lr=0.0005, test_acc=0.403]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:14<03:37,  2.29s/it, acc=0.788, lr=0.0006, test_acc=0.409]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:14<03:33,  2.27s/it, acc=0.788, lr=0.0006, test_acc=0.409]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:14<03:33,  2.27s/it, acc=0.788, lr=0.0006, test_acc=0.409]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<03:33,  2.27s/it, acc=0.845, lr=0.0007, test_acc=0.419]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:16<03:30,  2.26s/it, acc=0.845, lr=0.0007, test_acc=0.419]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:16<03:30,  2.26s/it, acc=0.845, lr=0.0007, test_acc=0.419]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:18<03:30,  2.26s/it, acc=0.859, lr=0.0008, test_acc=0.398]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:18<03:27,  2.26s/it, acc=0.859, lr=0.0008, test_acc=0.398]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:18<03:27,  2.26s/it, acc=0.859, lr=0.0008, test_acc=0.398]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:20<03:27,  2.26s/it, acc=0.84, lr=0.0009, test_acc=0.373] 
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:20<03:24,  2.25s/it, acc=0.84, lr=0.0009, test_acc=0.373]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:20<03:24,  2.25s/it, acc=0.84, lr=0.0009, test_acc=0.373]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:23<03:24,  2.25s/it, acc=0.85, lr=0.001, test_acc=0.392] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:23<03:22,  2.24s/it, acc=0.85, lr=0.001, test_acc=0.392]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:23<03:22,  2.24s/it, acc=0.85, lr=0.001, test_acc=0.392]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:22,  2.24s/it, acc=0.876, lr=0.001, test_acc=0.375]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:25<03:19,  2.24s/it, acc=0.876, lr=0.001, test_acc=0.375]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:25<03:19,  2.24s/it, acc=0.876, lr=0.001, test_acc=0.375]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:27<03:19,  2.24s/it, acc=0.895, lr=0.001, test_acc=0.41] 
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:27<03:16,  2.24s/it, acc=0.895, lr=0.001, test_acc=0.41]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:27<03:16,  2.24s/it, acc=0.895, lr=0.001, test_acc=0.41]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:29<03:16,  2.24s/it, acc=0.912, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:29<03:14,  2.24s/it, acc=0.912, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:29<03:14,  2.24s/it, acc=0.912, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:31<03:14,  2.24s/it, acc=0.912, lr=0.001, test_acc=0.342]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:31<03:12,  2.24s/it, acc=0.912, lr=0.001, test_acc=0.342]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:31<03:12,  2.24s/it, acc=0.912, lr=0.001, test_acc=0.342]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:34<03:12,  2.24s/it, acc=0.935, lr=0.001, test_acc=0.425]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:34<03:10,  2.24s/it, acc=0.935, lr=0.001, test_acc=0.425]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:34<03:10,  2.24s/it, acc=0.935, lr=0.001, test_acc=0.425]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:36<03:10,  2.24s/it, acc=0.939, lr=0.001, test_acc=0.438]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:36<03:08,  2.24s/it, acc=0.939, lr=0.001, test_acc=0.438]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:36<03:08,  2.24s/it, acc=0.939, lr=0.001, test_acc=0.438]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:38<03:08,  2.24s/it, acc=0.942, lr=0.001, test_acc=0.44] 
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:38<03:06,  2.24s/it, acc=0.942, lr=0.001, test_acc=0.44]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:38<03:06,  2.24s/it, acc=0.942, lr=0.001, test_acc=0.44]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:40<03:06,  2.24s/it, acc=0.943, lr=0.001, test_acc=0.432]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:40<03:03,  2.24s/it, acc=0.943, lr=0.001, test_acc=0.432]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:40<03:03,  2.24s/it, acc=0.943, lr=0.001, test_acc=0.432]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:43<03:03,  2.24s/it, acc=0.953, lr=0.001, test_acc=0.449]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:43<03:01,  2.24s/it, acc=0.953, lr=0.001, test_acc=0.449]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:43<03:01,  2.24s/it, acc=0.953, lr=0.001, test_acc=0.449]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:45<03:01,  2.24s/it, acc=0.956, lr=0.001, test_acc=0.471]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:45<02:59,  2.24s/it, acc=0.956, lr=0.001, test_acc=0.471]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:45<02:59,  2.24s/it, acc=0.956, lr=0.001, test_acc=0.471]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:47<02:59,  2.24s/it, acc=0.958, lr=0.001, test_acc=0.419]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:47<02:57,  2.24s/it, acc=0.958, lr=0.001, test_acc=0.419]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:47<02:57,  2.24s/it, acc=0.958, lr=0.001, test_acc=0.419]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:49<02:57,  2.24s/it, acc=0.965, lr=0.001, test_acc=0.448]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:49<02:54,  2.24s/it, acc=0.965, lr=0.001, test_acc=0.448]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:49<02:54,  2.24s/it, acc=0.965, lr=0.001, test_acc=0.448]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:52<02:54,  2.24s/it, acc=0.963, lr=0.001, test_acc=0.502]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:52<02:52,  2.24s/it, acc=0.963, lr=0.001, test_acc=0.502]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:52<02:52,  2.24s/it, acc=0.963, lr=0.001, test_acc=0.502]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:54<02:52,  2.24s/it, acc=0.969, lr=0.001, test_acc=0.469]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:54<02:50,  2.24s/it, acc=0.969, lr=0.001, test_acc=0.469]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:54<02:50,  2.24s/it, acc=0.969, lr=0.001, test_acc=0.469]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:56<02:50,  2.24s/it, acc=0.962, lr=0.001, test_acc=0.47] 
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [00:56<02:48,  2.24s/it, acc=0.962, lr=0.001, test_acc=0.47]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:56<02:48,  2.24s/it, acc=0.962, lr=0.001, test_acc=0.47]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:58<02:48,  2.24s/it, acc=0.972, lr=0.001, test_acc=0.499]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [00:58<02:45,  2.24s/it, acc=0.972, lr=0.001, test_acc=0.499]
