wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run tms5ejrt
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260630_005628-tms5ejrt
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.95_pruning_ratio_0.7_delta_t_864
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/tms5ejrt
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.95
num_mask_updates: 100
t_end_ratio: 0.8
pruning_ratio: 0.7
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.95 | total_steps=108000 | t_end=86400 | delta_t=864

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:02<?, ?it/s, acc=0.179, lr=0.0001, test_acc=0.107]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:02<04:19,  2.62s/it, acc=0.179, lr=0.0001, test_acc=0.107]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:02<04:19,  2.62s/it, acc=0.179, lr=0.0001, test_acc=0.107]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:04<04:19,  2.62s/it, acc=0.272, lr=0.0002, test_acc=0.162]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:04<03:57,  2.43s/it, acc=0.272, lr=0.0002, test_acc=0.162]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:04<03:57,  2.43s/it, acc=0.272, lr=0.0002, test_acc=0.162]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<03:57,  2.43s/it, acc=0.339, lr=0.0003, test_acc=0.278]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<03:50,  2.37s/it, acc=0.339, lr=0.0003, test_acc=0.278]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<03:50,  2.37s/it, acc=0.339, lr=0.0003, test_acc=0.278]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:09<03:50,  2.37s/it, acc=0.427, lr=0.0004, test_acc=0.409]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:09<03:44,  2.34s/it, acc=0.427, lr=0.0004, test_acc=0.409]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:09<03:44,  2.34s/it, acc=0.427, lr=0.0004, test_acc=0.409]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:11<03:44,  2.34s/it, acc=0.537, lr=0.0005, test_acc=0.395]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:11<03:40,  2.32s/it, acc=0.537, lr=0.0005, test_acc=0.395]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:11<03:40,  2.32s/it, acc=0.537, lr=0.0005, test_acc=0.395]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:14<03:40,  2.32s/it, acc=0.651, lr=0.0006, test_acc=0.456]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:14<03:37,  2.31s/it, acc=0.651, lr=0.0006, test_acc=0.456]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:14<03:37,  2.31s/it, acc=0.651, lr=0.0006, test_acc=0.456]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<03:37,  2.31s/it, acc=0.777, lr=0.0007, test_acc=0.354]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:16<03:33,  2.30s/it, acc=0.777, lr=0.0007, test_acc=0.354]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:16<03:33,  2.30s/it, acc=0.777, lr=0.0007, test_acc=0.354]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:18<03:33,  2.30s/it, acc=0.878, lr=0.0008, test_acc=0.428]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:18<03:31,  2.29s/it, acc=0.878, lr=0.0008, test_acc=0.428]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:18<03:31,  2.29s/it, acc=0.878, lr=0.0008, test_acc=0.428]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:20<03:31,  2.29s/it, acc=0.92, lr=0.0009, test_acc=0.369] 
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:20<03:28,  2.29s/it, acc=0.92, lr=0.0009, test_acc=0.369]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:20<03:28,  2.29s/it, acc=0.92, lr=0.0009, test_acc=0.369]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:23<03:28,  2.29s/it, acc=0.907, lr=0.001, test_acc=0.396]
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:23<03:26,  2.29s/it, acc=0.907, lr=0.001, test_acc=0.396]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:23<03:26,  2.29s/it, acc=0.907, lr=0.001, test_acc=0.396]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:26,  2.29s/it, acc=0.9, lr=0.001, test_acc=0.37]   
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:25<03:23,  2.29s/it, acc=0.9, lr=0.001, test_acc=0.37]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:25<03:23,  2.29s/it, acc=0.9, lr=0.001, test_acc=0.37]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:27<03:23,  2.29s/it, acc=0.917, lr=0.001, test_acc=0.418]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:27<03:21,  2.29s/it, acc=0.917, lr=0.001, test_acc=0.418]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:27<03:21,  2.29s/it, acc=0.917, lr=0.001, test_acc=0.418]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:30<03:21,  2.29s/it, acc=0.937, lr=0.001, test_acc=0.394]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:30<03:19,  2.29s/it, acc=0.937, lr=0.001, test_acc=0.394]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:30<03:19,  2.29s/it, acc=0.937, lr=0.001, test_acc=0.394]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:32<03:19,  2.29s/it, acc=0.938, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:32<03:16,  2.29s/it, acc=0.938, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:32<03:16,  2.29s/it, acc=0.938, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:34<03:16,  2.29s/it, acc=0.943, lr=0.001, test_acc=0.298]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:34<03:14,  2.29s/it, acc=0.943, lr=0.001, test_acc=0.298]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:34<03:14,  2.29s/it, acc=0.943, lr=0.001, test_acc=0.298]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:36<03:14,  2.29s/it, acc=0.935, lr=0.001, test_acc=0.41] 
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:36<03:12,  2.29s/it, acc=0.935, lr=0.001, test_acc=0.41]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:36<03:12,  2.29s/it, acc=0.935, lr=0.001, test_acc=0.41]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:39<03:12,  2.29s/it, acc=0.941, lr=0.001, test_acc=0.393]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:39<03:09,  2.29s/it, acc=0.941, lr=0.001, test_acc=0.393]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:39<03:09,  2.29s/it, acc=0.941, lr=0.001, test_acc=0.393]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:41<03:09,  2.29s/it, acc=0.943, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:41<03:07,  2.29s/it, acc=0.943, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:41<03:07,  2.29s/it, acc=0.943, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:43<03:07,  2.29s/it, acc=0.945, lr=0.001, test_acc=0.398]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:43<03:05,  2.29s/it, acc=0.945, lr=0.001, test_acc=0.398]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:43<03:05,  2.29s/it, acc=0.945, lr=0.001, test_acc=0.398]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:46<03:05,  2.29s/it, acc=0.954, lr=0.001, test_acc=0.396]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:46<03:02,  2.29s/it, acc=0.954, lr=0.001, test_acc=0.396]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:46<03:02,  2.29s/it, acc=0.954, lr=0.001, test_acc=0.396]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:48<03:02,  2.29s/it, acc=0.952, lr=0.001, test_acc=0.39] 
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:48<03:00,  2.29s/it, acc=0.952, lr=0.001, test_acc=0.39]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:48<03:00,  2.29s/it, acc=0.952, lr=0.001, test_acc=0.39]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:50<03:00,  2.29s/it, acc=0.963, lr=0.001, test_acc=0.409]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:50<02:58,  2.29s/it, acc=0.963, lr=0.001, test_acc=0.409]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:50<02:58,  2.29s/it, acc=0.963, lr=0.001, test_acc=0.409]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:52<02:58,  2.29s/it, acc=0.958, lr=0.001, test_acc=0.375]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:52<02:56,  2.29s/it, acc=0.958, lr=0.001, test_acc=0.375]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:52<02:56,  2.29s/it, acc=0.958, lr=0.001, test_acc=0.375]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:55<02:56,  2.29s/it, acc=0.958, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:55<02:53,  2.29s/it, acc=0.958, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:55<02:53,  2.29s/it, acc=0.958, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:57<02:53,  2.29s/it, acc=0.959, lr=0.001, test_acc=0.417]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [00:57<02:51,  2.29s/it, acc=0.959, lr=0.001, test_acc=0.417]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:57<02:51,  2.29s/it, acc=0.959, lr=0.001, test_acc=0.417]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:59<02:51,  2.29s/it, acc=0.962, lr=0.001, test_acc=0.43] 
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [00:59<02:49,  2.29s/it, acc=0.962, lr=0.001, test_acc=0.43]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [00:59<02:49,  2.29s/it, acc=0.962, lr=0.001, test_acc=0.43]
