wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run gg1kqtvv
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260623_055152-gg1kqtvv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.95_pruning_ratio_0.7_delta_t_8
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/7yfjydkv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/gg1kqtvv
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 0
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.95
num_mask_updates: 10000
t_end_ratio: 0.8
pruning_ratio: 0.7
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.95 | total_steps=108000 | t_end=86400 | delta_t=8

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:02<?, ?it/s, acc=0.138, lr=0.0001, test_acc=0.112]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:02<04:32,  2.76s/it, acc=0.138, lr=0.0001, test_acc=0.112]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:02<04:32,  2.76s/it, acc=0.138, lr=0.0001, test_acc=0.112]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:05<04:32,  2.76s/it, acc=0.191, lr=0.0002, test_acc=0.1]  
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:05<04:12,  2.58s/it, acc=0.191, lr=0.0002, test_acc=0.1]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:05<04:12,  2.58s/it, acc=0.191, lr=0.0002, test_acc=0.1]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<04:12,  2.58s/it, acc=0.264, lr=0.0003, test_acc=0.245]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<04:02,  2.50s/it, acc=0.264, lr=0.0003, test_acc=0.245]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<04:02,  2.50s/it, acc=0.264, lr=0.0003, test_acc=0.245]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:10<04:02,  2.50s/it, acc=0.301, lr=0.0004, test_acc=0.156]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:10<03:58,  2.48s/it, acc=0.301, lr=0.0004, test_acc=0.156]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:10<03:58,  2.48s/it, acc=0.301, lr=0.0004, test_acc=0.156]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:12<03:58,  2.48s/it, acc=0.328, lr=0.0005, test_acc=0.27] 
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:12<03:52,  2.45s/it, acc=0.328, lr=0.0005, test_acc=0.27]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:12<03:52,  2.45s/it, acc=0.328, lr=0.0005, test_acc=0.27]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:14<03:52,  2.45s/it, acc=0.36, lr=0.0006, test_acc=0.203]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:14<03:50,  2.45s/it, acc=0.36, lr=0.0006, test_acc=0.203]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:14<03:50,  2.45s/it, acc=0.36, lr=0.0006, test_acc=0.203]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:17<03:50,  2.45s/it, acc=0.387, lr=0.0007, test_acc=0.217]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:17<03:46,  2.44s/it, acc=0.387, lr=0.0007, test_acc=0.217]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:17<03:46,  2.44s/it, acc=0.387, lr=0.0007, test_acc=0.217]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:19<03:46,  2.44s/it, acc=0.411, lr=0.0008, test_acc=0.239]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:19<03:44,  2.44s/it, acc=0.411, lr=0.0008, test_acc=0.239]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:19<03:44,  2.44s/it, acc=0.411, lr=0.0008, test_acc=0.239]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:22<03:44,  2.44s/it, acc=0.423, lr=0.0009, test_acc=0.233]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:22<03:40,  2.43s/it, acc=0.423, lr=0.0009, test_acc=0.233]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:22<03:40,  2.43s/it, acc=0.423, lr=0.0009, test_acc=0.233]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:24<03:40,  2.43s/it, acc=0.442, lr=0.001, test_acc=0.323] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:24<03:39,  2.44s/it, acc=0.442, lr=0.001, test_acc=0.323]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:24<03:39,  2.44s/it, acc=0.442, lr=0.001, test_acc=0.323]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:27<03:39,  2.44s/it, acc=0.46, lr=0.001, test_acc=0.329] 
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:27<03:35,  2.42s/it, acc=0.46, lr=0.001, test_acc=0.329]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:27<03:35,  2.42s/it, acc=0.46, lr=0.001, test_acc=0.329]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:29<03:35,  2.42s/it, acc=0.495, lr=0.001, test_acc=0.178]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:29<03:34,  2.43s/it, acc=0.495, lr=0.001, test_acc=0.178]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:29<03:34,  2.43s/it, acc=0.495, lr=0.001, test_acc=0.178]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:31<03:34,  2.43s/it, acc=0.515, lr=0.001, test_acc=0.375]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:31<03:30,  2.42s/it, acc=0.515, lr=0.001, test_acc=0.375]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:31<03:30,  2.42s/it, acc=0.515, lr=0.001, test_acc=0.375]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:34<03:30,  2.42s/it, acc=0.541, lr=0.001, test_acc=0.392]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:34<03:29,  2.43s/it, acc=0.541, lr=0.001, test_acc=0.392]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:34<03:29,  2.43s/it, acc=0.541, lr=0.001, test_acc=0.392]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:36<03:29,  2.43s/it, acc=0.552, lr=0.001, test_acc=0.419]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:36<03:26,  2.42s/it, acc=0.552, lr=0.001, test_acc=0.419]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:36<03:26,  2.42s/it, acc=0.552, lr=0.001, test_acc=0.419]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:39<03:26,  2.42s/it, acc=0.586, lr=0.001, test_acc=0.172]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:39<03:24,  2.43s/it, acc=0.586, lr=0.001, test_acc=0.172]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:39<03:24,  2.43s/it, acc=0.586, lr=0.001, test_acc=0.172]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:41<03:24,  2.43s/it, acc=0.591, lr=0.001, test_acc=0.441]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:41<03:21,  2.42s/it, acc=0.591, lr=0.001, test_acc=0.441]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:41<03:21,  2.42s/it, acc=0.591, lr=0.001, test_acc=0.441]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:44<03:21,  2.42s/it, acc=0.598, lr=0.001, test_acc=0.263]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:44<03:19,  2.43s/it, acc=0.598, lr=0.001, test_acc=0.263]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:44<03:19,  2.43s/it, acc=0.598, lr=0.001, test_acc=0.263]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:46<03:19,  2.43s/it, acc=0.63, lr=0.001, test_acc=0.444] 
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:46<03:16,  2.42s/it, acc=0.63, lr=0.001, test_acc=0.444]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:46<03:16,  2.42s/it, acc=0.63, lr=0.001, test_acc=0.444]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:48<03:16,  2.42s/it, acc=0.655, lr=0.001, test_acc=0.399]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:48<03:14,  2.43s/it, acc=0.655, lr=0.001, test_acc=0.399]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:48<03:14,  2.43s/it, acc=0.655, lr=0.001, test_acc=0.399]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:51<03:14,  2.43s/it, acc=0.664, lr=0.001, test_acc=0.35] 
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:51<03:11,  2.42s/it, acc=0.664, lr=0.001, test_acc=0.35]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:51<03:11,  2.42s/it, acc=0.664, lr=0.001, test_acc=0.35]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:53<03:11,  2.42s/it, acc=0.688, lr=0.001, test_acc=0.382]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:53<03:09,  2.43s/it, acc=0.688, lr=0.001, test_acc=0.382]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:53<03:09,  2.43s/it, acc=0.688, lr=0.001, test_acc=0.382]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:56<03:09,  2.43s/it, acc=0.71, lr=0.001, test_acc=0.398] 
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:56<03:06,  2.42s/it, acc=0.71, lr=0.001, test_acc=0.398]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:56<03:06,  2.42s/it, acc=0.71, lr=0.001, test_acc=0.398]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:58<03:06,  2.42s/it, acc=0.731, lr=0.001, test_acc=0.178]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:58<03:04,  2.43s/it, acc=0.731, lr=0.001, test_acc=0.178]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:58<03:04,  2.43s/it, acc=0.731, lr=0.001, test_acc=0.178]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:01<03:04,  2.43s/it, acc=0.736, lr=0.001, test_acc=0.386]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [01:01<03:01,  2.42s/it, acc=0.736, lr=0.001, test_acc=0.386]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:01<03:01,  2.42s/it, acc=0.736, lr=0.001, test_acc=0.386]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:03<03:01,  2.42s/it, acc=0.765, lr=0.001, test_acc=0.37] 
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [01:03<03:00,  2.43s/it, acc=0.765, lr=0.001, test_acc=0.37]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:03<03:00,  2.43s/it, acc=0.765, lr=0.001, test_acc=0.37]
