wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run 6xvkn6hb
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260619_003005-6xvkn6hb
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.9_pruning_ratio_0.7_delta_t_8640
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/7yfjydkv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/6xvkn6hb
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 0
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.9
num_mask_updates: 10
t_end_ratio: 0.8
pruning_ratio: 0.7
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.9 | total_steps=108000 | t_end=86400 | delta_t=8640

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:02<?, ?it/s, acc=0.19, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:02<04:39,  2.82s/it, acc=0.19, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:02<04:39,  2.82s/it, acc=0.19, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:05<04:39,  2.82s/it, acc=0.303, lr=0.0002, test_acc=0.209]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:05<04:05,  2.50s/it, acc=0.303, lr=0.0002, test_acc=0.209]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:05<04:05,  2.50s/it, acc=0.303, lr=0.0002, test_acc=0.209]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<04:05,  2.50s/it, acc=0.408, lr=0.0003, test_acc=0.297]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<03:53,  2.41s/it, acc=0.408, lr=0.0003, test_acc=0.297]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<03:53,  2.41s/it, acc=0.408, lr=0.0003, test_acc=0.297]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:09<03:53,  2.41s/it, acc=0.505, lr=0.0004, test_acc=0.387]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:09<03:47,  2.37s/it, acc=0.505, lr=0.0004, test_acc=0.387]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:09<03:47,  2.37s/it, acc=0.505, lr=0.0004, test_acc=0.387]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:11<03:47,  2.37s/it, acc=0.631, lr=0.0005, test_acc=0.418]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:11<03:41,  2.34s/it, acc=0.631, lr=0.0005, test_acc=0.418]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:11<03:41,  2.34s/it, acc=0.631, lr=0.0005, test_acc=0.418]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:14<03:41,  2.34s/it, acc=0.762, lr=0.0006, test_acc=0.411]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:14<03:38,  2.32s/it, acc=0.762, lr=0.0006, test_acc=0.411]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:14<03:38,  2.32s/it, acc=0.762, lr=0.0006, test_acc=0.411]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<03:38,  2.32s/it, acc=0.879, lr=0.0007, test_acc=0.28] 
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:16<03:35,  2.31s/it, acc=0.879, lr=0.0007, test_acc=0.28]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:16<03:35,  2.31s/it, acc=0.879, lr=0.0007, test_acc=0.28]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:18<03:35,  2.31s/it, acc=0.903, lr=0.0008, test_acc=0.361]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:18<03:31,  2.30s/it, acc=0.903, lr=0.0008, test_acc=0.361]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:18<03:31,  2.30s/it, acc=0.903, lr=0.0008, test_acc=0.361]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:21<03:31,  2.30s/it, acc=0.903, lr=0.0009, test_acc=0.381]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:21<03:29,  2.30s/it, acc=0.903, lr=0.0009, test_acc=0.381]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:21<03:29,  2.30s/it, acc=0.903, lr=0.0009, test_acc=0.381]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:23<03:29,  2.30s/it, acc=0.888, lr=0.001, test_acc=0.379] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:23<03:26,  2.30s/it, acc=0.888, lr=0.001, test_acc=0.379]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:23<03:26,  2.30s/it, acc=0.888, lr=0.001, test_acc=0.379]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:26,  2.30s/it, acc=0.876, lr=0.001, test_acc=0.309]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:25<03:24,  2.30s/it, acc=0.876, lr=0.001, test_acc=0.309]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:25<03:24,  2.30s/it, acc=0.876, lr=0.001, test_acc=0.309]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:28<03:24,  2.30s/it, acc=0.904, lr=0.001, test_acc=0.331]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:28<03:21,  2.30s/it, acc=0.904, lr=0.001, test_acc=0.331]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:28<03:21,  2.30s/it, acc=0.904, lr=0.001, test_acc=0.331]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:30<03:21,  2.30s/it, acc=0.92, lr=0.001, test_acc=0.384] 
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:30<03:19,  2.29s/it, acc=0.92, lr=0.001, test_acc=0.384]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:30<03:19,  2.29s/it, acc=0.92, lr=0.001, test_acc=0.384]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:32<03:19,  2.29s/it, acc=0.923, lr=0.001, test_acc=0.431]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:32<03:17,  2.29s/it, acc=0.923, lr=0.001, test_acc=0.431]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:32<03:17,  2.29s/it, acc=0.923, lr=0.001, test_acc=0.431]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:34<03:17,  2.29s/it, acc=0.925, lr=0.001, test_acc=0.42] 
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:34<03:14,  2.29s/it, acc=0.925, lr=0.001, test_acc=0.42]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:34<03:14,  2.29s/it, acc=0.925, lr=0.001, test_acc=0.42]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:37<03:14,  2.29s/it, acc=0.934, lr=0.001, test_acc=0.399]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:37<03:12,  2.29s/it, acc=0.934, lr=0.001, test_acc=0.399]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:37<03:12,  2.29s/it, acc=0.934, lr=0.001, test_acc=0.399]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:39<03:12,  2.29s/it, acc=0.943, lr=0.001, test_acc=0.44] 
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:39<03:10,  2.29s/it, acc=0.943, lr=0.001, test_acc=0.44]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:39<03:10,  2.29s/it, acc=0.943, lr=0.001, test_acc=0.44]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:41<03:10,  2.29s/it, acc=0.941, lr=0.001, test_acc=0.447]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:41<03:08,  2.29s/it, acc=0.941, lr=0.001, test_acc=0.447]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:41<03:08,  2.29s/it, acc=0.941, lr=0.001, test_acc=0.447]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:44<03:08,  2.29s/it, acc=0.95, lr=0.001, test_acc=0.413] 
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:44<03:05,  2.29s/it, acc=0.95, lr=0.001, test_acc=0.413]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:44<03:05,  2.29s/it, acc=0.95, lr=0.001, test_acc=0.413]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:46<03:05,  2.29s/it, acc=0.954, lr=0.001, test_acc=0.44]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:46<03:03,  2.29s/it, acc=0.954, lr=0.001, test_acc=0.44]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:46<03:03,  2.29s/it, acc=0.954, lr=0.001, test_acc=0.44]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:48<03:03,  2.29s/it, acc=0.961, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:48<03:01,  2.29s/it, acc=0.961, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:48<03:01,  2.29s/it, acc=0.961, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:50<03:01,  2.29s/it, acc=0.958, lr=0.001, test_acc=0.443]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:50<02:58,  2.29s/it, acc=0.958, lr=0.001, test_acc=0.443]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:50<02:58,  2.29s/it, acc=0.958, lr=0.001, test_acc=0.443]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:53<02:58,  2.29s/it, acc=0.96, lr=0.001, test_acc=0.407] 
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:53<02:56,  2.29s/it, acc=0.96, lr=0.001, test_acc=0.407]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:53<02:56,  2.29s/it, acc=0.96, lr=0.001, test_acc=0.407]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:55<02:56,  2.29s/it, acc=0.959, lr=0.001, test_acc=0.428]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:55<02:53,  2.28s/it, acc=0.959, lr=0.001, test_acc=0.428]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:55<02:53,  2.28s/it, acc=0.959, lr=0.001, test_acc=0.428]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:57<02:53,  2.28s/it, acc=0.965, lr=0.001, test_acc=0.431]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [00:57<02:51,  2.28s/it, acc=0.965, lr=0.001, test_acc=0.431]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:57<02:51,  2.28s/it, acc=0.965, lr=0.001, test_acc=0.431]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:00<02:51,  2.28s/it, acc=0.961, lr=0.001, test_acc=0.411]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [01:00<02:49,  2.29s/it, acc=0.961, lr=0.001, test_acc=0.411]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:00<02:49,  2.29s/it, acc=0.961, lr=0.001, test_acc=0.411]
