wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run p1zhm7gb
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260619_071209-p1zhm7gb
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.5_pruning_ratio_0.1_delta_t_86
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/7yfjydkv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/p1zhm7gb
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 0
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: set
sparsity: 0.5
num_mask_updates: 1000
t_end_ratio: 0.8
pruning_ratio: 0.1
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] set | sparsity=0.5 | total_steps=108000 | t_end=86400 | delta_t=86

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:02<?, ?it/s, acc=0.243, lr=0.0001, test_acc=0.101]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:02<04:54,  2.97s/it, acc=0.243, lr=0.0001, test_acc=0.101]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:02<04:54,  2.97s/it, acc=0.243, lr=0.0001, test_acc=0.101]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:05<04:54,  2.97s/it, acc=0.382, lr=0.0002, test_acc=0.273]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:05<04:09,  2.54s/it, acc=0.382, lr=0.0002, test_acc=0.273]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:05<04:09,  2.54s/it, acc=0.382, lr=0.0002, test_acc=0.273]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<04:09,  2.54s/it, acc=0.507, lr=0.0003, test_acc=0.387]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<03:53,  2.41s/it, acc=0.507, lr=0.0003, test_acc=0.387]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<03:53,  2.41s/it, acc=0.507, lr=0.0003, test_acc=0.387]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:09<03:53,  2.41s/it, acc=0.667, lr=0.0004, test_acc=0.392]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:09<03:44,  2.34s/it, acc=0.667, lr=0.0004, test_acc=0.392]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:09<03:44,  2.34s/it, acc=0.667, lr=0.0004, test_acc=0.392]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:12<03:44,  2.34s/it, acc=0.648, lr=0.0005, test_acc=0.388]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:12<03:41,  2.33s/it, acc=0.648, lr=0.0005, test_acc=0.388]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:12<03:41,  2.33s/it, acc=0.648, lr=0.0005, test_acc=0.388]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:14<03:41,  2.33s/it, acc=0.738, lr=0.0006, test_acc=0.387]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:14<03:36,  2.30s/it, acc=0.738, lr=0.0006, test_acc=0.387]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:14<03:36,  2.30s/it, acc=0.738, lr=0.0006, test_acc=0.387]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<03:36,  2.30s/it, acc=0.84, lr=0.0007, test_acc=0.362] 
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:16<03:32,  2.28s/it, acc=0.84, lr=0.0007, test_acc=0.362]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:16<03:32,  2.28s/it, acc=0.84, lr=0.0007, test_acc=0.362]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:18<03:32,  2.28s/it, acc=0.881, lr=0.0008, test_acc=0.42]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:18<03:28,  2.27s/it, acc=0.881, lr=0.0008, test_acc=0.42]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:18<03:28,  2.27s/it, acc=0.881, lr=0.0008, test_acc=0.42]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:21<03:28,  2.27s/it, acc=0.852, lr=0.0009, test_acc=0.366]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:21<03:27,  2.28s/it, acc=0.852, lr=0.0009, test_acc=0.366]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:21<03:27,  2.28s/it, acc=0.852, lr=0.0009, test_acc=0.366]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:23<03:27,  2.28s/it, acc=0.817, lr=0.001, test_acc=0.344] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:23<03:24,  2.27s/it, acc=0.817, lr=0.001, test_acc=0.344]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:23<03:24,  2.27s/it, acc=0.817, lr=0.001, test_acc=0.344]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:24,  2.27s/it, acc=0.867, lr=0.001, test_acc=0.449]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:25<03:21,  2.26s/it, acc=0.867, lr=0.001, test_acc=0.449]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:25<03:21,  2.26s/it, acc=0.867, lr=0.001, test_acc=0.449]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:27<03:21,  2.26s/it, acc=0.907, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:27<03:18,  2.26s/it, acc=0.907, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:27<03:18,  2.26s/it, acc=0.907, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:30<03:18,  2.26s/it, acc=0.924, lr=0.001, test_acc=0.397]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:30<03:17,  2.27s/it, acc=0.924, lr=0.001, test_acc=0.397]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:30<03:17,  2.27s/it, acc=0.924, lr=0.001, test_acc=0.397]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:32<03:17,  2.27s/it, acc=0.888, lr=0.001, test_acc=0.384]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:32<03:14,  2.26s/it, acc=0.888, lr=0.001, test_acc=0.384]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:32<03:14,  2.26s/it, acc=0.888, lr=0.001, test_acc=0.384]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:34<03:14,  2.26s/it, acc=0.919, lr=0.001, test_acc=0.406]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:34<03:11,  2.25s/it, acc=0.919, lr=0.001, test_acc=0.406]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:34<03:11,  2.25s/it, acc=0.919, lr=0.001, test_acc=0.406]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:36<03:11,  2.25s/it, acc=0.939, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:36<03:09,  2.25s/it, acc=0.939, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:36<03:09,  2.25s/it, acc=0.939, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:39<03:09,  2.25s/it, acc=0.941, lr=0.001, test_acc=0.431]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:39<03:06,  2.25s/it, acc=0.941, lr=0.001, test_acc=0.431]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:39<03:06,  2.25s/it, acc=0.941, lr=0.001, test_acc=0.431]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:41<03:06,  2.25s/it, acc=0.931, lr=0.001, test_acc=0.451]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:41<03:05,  2.27s/it, acc=0.931, lr=0.001, test_acc=0.451]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:41<03:05,  2.27s/it, acc=0.931, lr=0.001, test_acc=0.451]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:43<03:05,  2.27s/it, acc=0.942, lr=0.001, test_acc=0.426]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:43<03:02,  2.26s/it, acc=0.942, lr=0.001, test_acc=0.426]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:43<03:02,  2.26s/it, acc=0.942, lr=0.001, test_acc=0.426]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:45<03:02,  2.26s/it, acc=0.957, lr=0.001, test_acc=0.443]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:45<03:00,  2.25s/it, acc=0.957, lr=0.001, test_acc=0.443]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:45<03:00,  2.25s/it, acc=0.957, lr=0.001, test_acc=0.443]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:48<03:00,  2.25s/it, acc=0.955, lr=0.001, test_acc=0.46] 
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:48<02:57,  2.25s/it, acc=0.955, lr=0.001, test_acc=0.46]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:48<02:57,  2.25s/it, acc=0.955, lr=0.001, test_acc=0.46]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:50<02:57,  2.25s/it, acc=0.958, lr=0.001, test_acc=0.421]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:50<02:56,  2.26s/it, acc=0.958, lr=0.001, test_acc=0.421]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:50<02:56,  2.26s/it, acc=0.958, lr=0.001, test_acc=0.421]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:52<02:56,  2.26s/it, acc=0.95, lr=0.001, test_acc=0.438] 
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:52<02:53,  2.26s/it, acc=0.95, lr=0.001, test_acc=0.438]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:52<02:53,  2.26s/it, acc=0.95, lr=0.001, test_acc=0.438]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:54<02:53,  2.26s/it, acc=0.955, lr=0.001, test_acc=0.482]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:54<02:51,  2.25s/it, acc=0.955, lr=0.001, test_acc=0.482]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:54<02:51,  2.25s/it, acc=0.955, lr=0.001, test_acc=0.482]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:57<02:51,  2.25s/it, acc=0.967, lr=0.001, test_acc=0.42] 
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [00:57<02:48,  2.25s/it, acc=0.967, lr=0.001, test_acc=0.42]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:57<02:48,  2.25s/it, acc=0.967, lr=0.001, test_acc=0.42]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:59<02:48,  2.25s/it, acc=0.969, lr=0.001, test_acc=0.451]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [00:59<02:47,  2.27s/it, acc=0.969, lr=0.001, test_acc=0.451]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [00:59<02:47,  2.27s/it, acc=0.969, lr=0.001, test_acc=0.451]
