wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run 51cr3aun
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260630_004427-51cr3aun
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.99_pruning_ratio_0.7_delta_t_864
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/51cr3aun
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: set
sparsity: 0.99
num_mask_updates: 100
t_end_ratio: 0.8
pruning_ratio: 0.7
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] set | sparsity=0.99 | total_steps=108000 | t_end=86400 | delta_t=864

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:02<?, ?it/s, acc=0.103, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:02<04:21,  2.64s/it, acc=0.103, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:02<04:21,  2.64s/it, acc=0.103, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:04<04:21,  2.64s/it, acc=0.124, lr=0.0002, test_acc=0.1]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:04<03:57,  2.42s/it, acc=0.124, lr=0.0002, test_acc=0.1]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:04<03:57,  2.42s/it, acc=0.124, lr=0.0002, test_acc=0.1]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<03:57,  2.42s/it, acc=0.197, lr=0.0003, test_acc=0.1]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<03:48,  2.35s/it, acc=0.197, lr=0.0003, test_acc=0.1]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<03:48,  2.35s/it, acc=0.197, lr=0.0003, test_acc=0.1]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:09<03:48,  2.35s/it, acc=0.222, lr=0.0004, test_acc=0.225]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:09<03:42,  2.32s/it, acc=0.222, lr=0.0004, test_acc=0.225]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:09<03:42,  2.32s/it, acc=0.222, lr=0.0004, test_acc=0.225]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:11<03:42,  2.32s/it, acc=0.282, lr=0.0005, test_acc=0.337]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:11<03:38,  2.30s/it, acc=0.282, lr=0.0005, test_acc=0.337]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:11<03:38,  2.30s/it, acc=0.282, lr=0.0005, test_acc=0.337]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:13<03:38,  2.30s/it, acc=0.352, lr=0.0006, test_acc=0.36] 
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:13<03:35,  2.29s/it, acc=0.352, lr=0.0006, test_acc=0.36]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:13<03:35,  2.29s/it, acc=0.352, lr=0.0006, test_acc=0.36]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<03:35,  2.29s/it, acc=0.387, lr=0.0007, test_acc=0.341]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:16<03:31,  2.28s/it, acc=0.387, lr=0.0007, test_acc=0.341]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:16<03:31,  2.28s/it, acc=0.387, lr=0.0007, test_acc=0.341]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:18<03:31,  2.28s/it, acc=0.436, lr=0.0008, test_acc=0.396]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:18<03:29,  2.27s/it, acc=0.436, lr=0.0008, test_acc=0.396]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:18<03:29,  2.27s/it, acc=0.436, lr=0.0008, test_acc=0.396]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:20<03:29,  2.27s/it, acc=0.467, lr=0.0009, test_acc=0.388]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:20<03:26,  2.27s/it, acc=0.467, lr=0.0009, test_acc=0.388]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:20<03:26,  2.27s/it, acc=0.467, lr=0.0009, test_acc=0.388]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:23<03:26,  2.27s/it, acc=0.492, lr=0.001, test_acc=0.414] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:23<03:24,  2.27s/it, acc=0.492, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:23<03:24,  2.27s/it, acc=0.492, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:24,  2.27s/it, acc=0.545, lr=0.001, test_acc=0.42] 
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:25<03:21,  2.27s/it, acc=0.545, lr=0.001, test_acc=0.42]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:25<03:21,  2.27s/it, acc=0.545, lr=0.001, test_acc=0.42]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:27<03:21,  2.27s/it, acc=0.585, lr=0.001, test_acc=0.391]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:27<03:19,  2.26s/it, acc=0.585, lr=0.001, test_acc=0.391]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:27<03:19,  2.26s/it, acc=0.585, lr=0.001, test_acc=0.391]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:29<03:19,  2.26s/it, acc=0.635, lr=0.001, test_acc=0.413]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:29<03:16,  2.26s/it, acc=0.635, lr=0.001, test_acc=0.413]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:29<03:16,  2.26s/it, acc=0.635, lr=0.001, test_acc=0.413]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:32<03:16,  2.26s/it, acc=0.679, lr=0.001, test_acc=0.444]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:32<03:14,  2.26s/it, acc=0.679, lr=0.001, test_acc=0.444]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:32<03:14,  2.26s/it, acc=0.679, lr=0.001, test_acc=0.444]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:34<03:14,  2.26s/it, acc=0.727, lr=0.001, test_acc=0.432]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:34<03:12,  2.26s/it, acc=0.727, lr=0.001, test_acc=0.432]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:34<03:12,  2.26s/it, acc=0.727, lr=0.001, test_acc=0.432]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:36<03:12,  2.26s/it, acc=0.753, lr=0.001, test_acc=0.405]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:36<03:10,  2.26s/it, acc=0.753, lr=0.001, test_acc=0.405]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:36<03:10,  2.26s/it, acc=0.753, lr=0.001, test_acc=0.405]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:38<03:10,  2.26s/it, acc=0.802, lr=0.001, test_acc=0.448]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:38<03:07,  2.26s/it, acc=0.802, lr=0.001, test_acc=0.448]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:38<03:07,  2.26s/it, acc=0.802, lr=0.001, test_acc=0.448]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:41<03:07,  2.26s/it, acc=0.818, lr=0.001, test_acc=0.448]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:41<03:05,  2.26s/it, acc=0.818, lr=0.001, test_acc=0.448]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:41<03:05,  2.26s/it, acc=0.818, lr=0.001, test_acc=0.448]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:43<03:05,  2.26s/it, acc=0.862, lr=0.001, test_acc=0.441]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:43<03:03,  2.26s/it, acc=0.862, lr=0.001, test_acc=0.441]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:43<03:03,  2.26s/it, acc=0.862, lr=0.001, test_acc=0.441]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:45<03:03,  2.26s/it, acc=0.881, lr=0.001, test_acc=0.435]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:45<03:01,  2.26s/it, acc=0.881, lr=0.001, test_acc=0.435]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:45<03:01,  2.26s/it, acc=0.881, lr=0.001, test_acc=0.435]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:47<03:01,  2.26s/it, acc=0.896, lr=0.001, test_acc=0.444]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:47<02:58,  2.26s/it, acc=0.896, lr=0.001, test_acc=0.444]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:47<02:58,  2.26s/it, acc=0.896, lr=0.001, test_acc=0.444]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:50<02:58,  2.26s/it, acc=0.919, lr=0.001, test_acc=0.415]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:50<02:56,  2.26s/it, acc=0.919, lr=0.001, test_acc=0.415]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:50<02:56,  2.26s/it, acc=0.919, lr=0.001, test_acc=0.415]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:52<02:56,  2.26s/it, acc=0.932, lr=0.001, test_acc=0.389]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:52<02:54,  2.26s/it, acc=0.932, lr=0.001, test_acc=0.389]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:52<02:54,  2.26s/it, acc=0.932, lr=0.001, test_acc=0.389]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:54<02:54,  2.26s/it, acc=0.945, lr=0.001, test_acc=0.449]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:54<02:52,  2.26s/it, acc=0.945, lr=0.001, test_acc=0.449]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:54<02:52,  2.26s/it, acc=0.945, lr=0.001, test_acc=0.449]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:56<02:52,  2.26s/it, acc=0.953, lr=0.001, test_acc=0.464]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [00:56<02:49,  2.26s/it, acc=0.953, lr=0.001, test_acc=0.464]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:56<02:49,  2.26s/it, acc=0.953, lr=0.001, test_acc=0.464]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:59<02:49,  2.26s/it, acc=0.966, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [00:59<02:47,  2.26s/it, acc=0.966, lr=0.001, test_acc=0.465]
